,Date,BTC,IBEX
448,2015-12-09,414.44101,9865.299805
449,2015-12-10,417.988007,9779.400391
450,2015-12-11,415.281006,9772.900391
451,2015-12-12,452.334991,9772.900391
452,2015-12-13,431.660004,9772.900391
453,2015-12-14,433.272003,9658.0
454,2015-12-15,443.877991,9496.299805
455,2015-12-16,465.208008,9762.5
456,2015-12-17,454.777008,9909.099609
457,2015-12-18,455.846985,9794.099609
458,2015-12-19,463.552002,9794.099609
459,2015-12-20,462.234009,9794.099609
460,2015-12-21,442.838013,9520.5
461,2015-12-22,437.436005,9451.799805
462,2015-12-23,436.720001,9505.599609
463,2015-12-24,443.091003,9663.0
464,2015-12-25,454.855011,9663.0
465,2015-12-26,455.756012,9663.0
466,2015-12-27,416.514008,9663.0
467,2015-12-28,423.342987,9675.599609
468,2015-12-29,422.097992,9611.700195
469,2015-12-30,433.299988,9650.0
470,2015-12-31,425.875,9604.200195
471,2016-01-01,430.721008,9604.200195
472,2016-01-02,434.622009,9604.200195
473,2016-01-03,433.578003,9604.200195
474,2016-01-04,430.061005,9429.799805
475,2016-01-05,433.069,9431.5
476,2016-01-06,431.855988,9330.299805
477,2016-01-07,430.010986,8973.799805
478,2016-01-08,457.537994,9093.299805
479,2016-01-09,453.382996,9093.299805
480,2016-01-10,448.238007,9093.299805
481,2016-01-11,448.697998,8849.900391
482,2016-01-12,448.182007,8867.900391
483,2016-01-13,434.665009,8998.5
484,2016-01-14,432.287994,8852.5
485,2016-01-15,430.255005,8769.400391
486,2016-01-16,365.072998,8769.400391
487,2016-01-17,387.152008,8769.400391
488,2016-01-18,381.733002,8525.5
489,2016-01-19,387.026001,8624.299805
490,2016-01-20,379.73999,8390.200195
491,2016-01-21,419.631989,8311.799805
492,2016-01-22,409.751007,8638.0
493,2016-01-23,382.43399,8638.0
494,2016-01-24,388.10199,8638.0
495,2016-01-25,402.316986,8763.200195
496,2016-01-26,392.002014,8426.099609
497,2016-01-27,392.444,8676.099609
498,2016-01-28,395.145996,8697.799805
499,2016-01-29,380.108002,8728.200195
500,2016-01-30,378.86499,8728.200195
501,2016-01-31,378.292999,8728.200195
502,2016-02-01,369.350006,8849.299805
503,2016-02-02,372.920013,8768.0
504,2016-02-03,374.645996,8510.299805
505,2016-02-04,370.174011,8437.099609
506,2016-02-05,388.89801,8477.099609
507,2016-02-06,386.588989,8477.099609
508,2016-02-07,376.514008,8477.099609
509,2016-02-08,376.756989,8537.900391
510,2016-02-09,373.423004,8129.0
511,2016-02-10,376.145996,8013.799805
512,2016-02-11,382.114014,8047.299805
513,2016-02-12,379.686005,7849.899902
514,2016-02-13,384.640991,7849.899902
515,2016-02-14,392.932007,7849.899902
516,2016-02-15,407.567993,8133.0
517,2016-02-16,401.432007,8262.799805
518,2016-02-17,407.656006,8166.200195
519,2016-02-18,416.571991,8420.299805
520,2016-02-19,422.730011,8284.900391
521,2016-02-20,421.601013,8284.900391
522,2016-02-21,437.77301,8284.900391
523,2016-02-22,438.989014,8290.299805
524,2016-02-23,438.255005,8345.400391
525,2016-02-24,420.955994,8255.0
526,2016-02-25,425.036987,8128.100098
527,2016-02-26,424.628998,8313.299805
528,2016-02-27,432.838989,8313.299805
529,2016-02-28,432.571014,8313.299805
530,2016-02-29,433.437988,8291.900391
531,2016-03-01,437.916992,8454.599609
532,2016-03-02,435.131012,8662.299805
533,2016-03-03,423.911987,8787.900391
534,2016-03-04,421.835999,8812.599609
535,2016-03-05,410.781006,8812.599609
536,2016-03-06,400.524994,8812.599609
537,2016-03-07,407.756989,8785.700195
538,2016-03-08,414.464996,8736.299805
539,2016-03-09,413.894012,8765.5
540,2016-03-10,414.743988,8782.0
541,2016-03-11,417.238007,8930.299805
542,2016-03-12,421.605011,8930.299805
543,2016-03-13,411.64801,8930.299805
544,2016-03-14,414.200989,9156.099609
545,2016-03-15,416.388,9099.5
546,2016-03-16,416.888,9018.400391
547,2016-03-17,417.889008,9064.900391
548,2016-03-18,420.546997,8995.299805
549,2016-03-19,409.265015,8995.299805
550,2016-03-20,410.401001,8995.299805
551,2016-03-21,413.417999,9006.099609
552,2016-03-22,413.131989,8969.299805
553,2016-03-23,418.161011,9017.200195
554,2016-03-24,418.424011,8862.5
555,2016-03-25,416.507996,8862.5
556,2016-03-26,417.36499,8862.5
557,2016-03-27,418.140015,8862.5
558,2016-03-28,426.548004,8862.5
559,2016-03-29,424.303986,8843.200195
560,2016-03-30,416.834015,8874.400391
561,2016-03-31,415.256989,8825.5
562,2016-04-01,416.76001,8624.599609
563,2016-04-02,418.421997,8624.599609
564,2016-04-03,421.173004,8624.599609
565,2016-04-04,421.299011,8589.299805
566,2016-04-05,421.016998,8483.799805
567,2016-04-06,424.283997,8398.799805
568,2016-04-07,423.619995,8418.200195
569,2016-04-08,422.907013,8309.900391
570,2016-04-09,420.811005,8309.900391
571,2016-04-10,419.59201,8309.900391
572,2016-04-11,421.872009,8413.400391
573,2016-04-12,422.842987,8519.799805
574,2016-04-13,425.631989,8660.099609
575,2016-04-14,423.934998,8854.0
576,2016-04-15,424.427002,8855.400391
577,2016-04-16,429.575012,8855.400391
578,2016-04-17,430.635986,8855.400391
579,2016-04-18,427.610992,8703.400391
580,2016-04-19,428.703003,8914.5
581,2016-04-20,435.324005,8948.400391
582,2016-04-21,441.415985,9178.5
583,2016-04-22,449.687988,9183.900391
584,2016-04-23,445.860992,9183.900391
585,2016-04-24,450.559998,9183.900391
586,2016-04-25,459.121002,9225.400391
587,2016-04-26,461.64801,9171.900391
588,2016-04-27,466.261993,9306.700195
589,2016-04-28,445.037994,9227.599609
590,2016-04-29,449.40799,9161.400391
591,2016-04-30,455.178009,9161.400391
592,2016-05-01,448.484009,9161.400391
593,2016-05-02,451.933014,9066.900391
594,2016-05-03,444.72699,9009.400391
595,2016-05-04,450.183014,8767.799805
596,2016-05-05,446.710999,8698.200195
597,2016-05-06,447.941986,8659.5
598,2016-05-07,459.639008,8659.5
599,2016-05-08,458.428986,8659.5
600,2016-05-09,458.205994,8776.099609
601,2016-05-10,460.518005,8749.400391
602,2016-05-11,450.864014,8773.0
603,2016-05-12,452.446991,8629.400391
604,2016-05-13,454.850006,8622.700195
605,2016-05-14,455.822998,8622.700195
606,2016-05-15,455.759003,8622.700195
607,2016-05-16,457.585999,8626.400391
608,2016-05-17,454.009003,8743.700195
609,2016-05-18,453.69101,8647.299805
610,2016-05-19,454.523987,8745.5
611,2016-05-20,437.792999,8737.5
612,2016-05-21,442.966003,8737.5
613,2016-05-22,443.217987,8737.5
614,2016-05-23,439.347992,8776.200195
615,2016-05-24,444.290985,8687.299805
616,2016-05-25,446.062012,8988.5
617,2016-05-26,449.671997,9074.400391
618,2016-05-27,453.520996,9045.400391
619,2016-05-28,473.028992,9045.400391
620,2016-05-29,527.47699,9045.400391
621,2016-05-30,528.471008,9110.900391
622,2016-05-31,534.190979,9130.5
623,2016-06-01,531.106995,9028.299805
624,2016-06-02,536.515015,8918.599609
625,2016-06-03,537.682007,9004.299805
626,2016-06-04,569.705017,9004.299805
627,2016-06-05,573.307983,9004.299805
628,2016-06-06,574.60199,8810.099609
629,2016-06-07,585.445007,8873.0
630,2016-06-08,577.166992,8857.900391
631,2016-06-09,582.203003,8806.799805
632,2016-06-10,575.836975,8732.200195
633,2016-06-11,578.674011,8732.200195
634,2016-06-12,609.684021,8732.200195
635,2016-06-13,671.653992,8388.200195
636,2016-06-14,704.504028,8238.599609
637,2016-06-15,685.684998,8216.799805
638,2016-06-16,696.52301,8150.700195
639,2016-06-17,768.487,8290.200195
640,2016-06-18,748.755981,8290.200195
641,2016-06-19,756.687988,8290.200195
642,2016-06-20,763.927002,8592.700195
643,2016-06-21,735.882996,8636.900391
644,2016-06-22,665.914978,8711.900391
645,2016-06-23,597.442993,8758.900391
646,2016-06-24,625.575012,8263.599609
647,2016-06-25,665.281006,8263.599609
648,2016-06-26,665.93103,8263.599609
649,2016-06-27,629.348999,8001.5
650,2016-06-28,658.10199,7836.799805
651,2016-06-29,644.122009,7947.0
652,2016-06-30,640.591003,8081.700195
653,2016-07-01,672.515015,8240.099609
654,2016-07-02,676.734009,8240.099609
655,2016-07-03,704.968018,8240.099609
656,2016-07-04,658.804016,8302.900391
657,2016-07-05,683.208984,8176.200195
658,2016-07-06,670.41803,8005.700195
659,2016-07-07,678.090027,7996.399902
660,2016-07-08,640.687988,7985.600098
661,2016-07-09,666.383972,7985.600098
662,2016-07-10,650.598999,7985.600098
